sample_index,sim_time_s,ego_x,ego_y,ego_speed_mps,obstacle_count,nearest_ttc_s,nearest_ttc_obstacle_id,nearest_ttc_reason,nearest_ttc_longitudinal_gap_m,nearest_ttc_lateral_gap_m,nearest_ttc_bumper_gap_m,nearest_ttc_bumper_gap_raw_m,nearest_ttc_closing_speed_mps,nearest_ttc_obstacle_x,nearest_ttc_obstacle_y,nearest_ttc_obstacle_v_mps,max_drac_mps2,min_pet_s,behavior_decision,fsm_state,blocking_obstacle_id,decision_reason,collision_count,last_collision_actor_type,cp_provider_source,native_opencda_available,native_opencda_required,cp_obstacle_count,lateral_offset_m,heading_error_rad,Cost_ref,Cost_LaneCenter,Cost_RoadBoundary,Cost_Repulsive,Cost_Control,road_boundary_sample_valid,road_boundary_lateral_offset_m,road_boundary_lane_width_m,road_boundary_ego_half_width_m,road_boundary_clearance_m,road_boundary_breach,road_boundary_breach_count,road_boundary_sample_count,road_boundary_breach_rate
12,8.52592008,-55.538543701171875,133.36985778808594,0.19871419317076833,0,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,371.79314094801794,133.69616412270645,0.0,0.0,3125.55618586294,True,1.8153881176097286e-15,3.4999999998627302,1.07,0.5298811286529744,False,0,13,0.0
13,8.57592008,-55.53847122192383,133.36985778808594,0.15522327069965078,0,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,367.40430331914666,148.17737298051088,0.0,0.0,4056.518678406101,True,-1.1623514650782596e-14,3.4999999998626734,1.07,0.5298822265580397,False,0,14,0.0
14,8.625920081,-55.53841018676758,133.36984252929688,0.1165345803809654,0,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,353.969651352914,151.78877968582643,0.0,0.0,5316.7550881093575,True,-1.2427558981897846e-14,3.499999999862722,1.07,0.529897182142483,False,0,15,0.0
15,8.675920082,-55.53836441040039,133.36985778808594,0.08510189957532685,0,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,342.81379707878034,154.71778168164826,0.0,0.0,6205.273016156307,True,4.518954654919582e-16,3.499999999862702,1.07,0.5298815524906345,False,0,16,0.0
16,8.725920083,-55.53831100463867,133.36984252929688,0.06089400581609424,0,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,335.18955226224443,87.17145567663127,0.0,0.0,6508.112264939857,True,4.518954654919582e-16,3.499999999862702,1.07,0.5298971392034598,False,0,17,0.0
17,8.775920083,-55.53827667236328,133.3698272705078,0.04289821743229563,0,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,327.2416140173296,88.0857223471528,0.0,0.0,6522.215489113561,True,4.518954654919582e-16,3.499999999862702,1.07,0.5299126086967553,False,0,18,0.0
18,8.825920084,-55.538246154785156,133.36981201171875,0.029844011340306197,0,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,320.50773709415796,88.76005712457746,0.0,0.0,6303.454741175925,True,4.518954654919582e-16,3.499999999862702,1.07,0.529928054746538,False,0,19,0.0
19,8.875920085,-55.53822708129883,133.3698272705078,0.020554040778521146,0,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,314.81699757118565,89.24828063434435,0.0,0.0,5978.9260384654735,True,4.518954654919582e-16,3.499999999862702,1.07,0.5299129134621418,False,0,20,0.0
20,8.925920086,-55.53821563720703,133.36984252929688,0.014036845225170604,0,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,310.025290847765,89.59537766230991,0.0,0.0,5632.797688188319,True,4.518954654919582e-16,3.499999999862702,1.07,0.5298977252920981,False,0,21,0.0
21,8.975920086,-55.53820037841797,133.36985778808594,0.009517136066733344,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,306.0057704361819,89.83798867969472,0.0,3.3303535835572503e-81,5310.879989513694,True,4.518954654919582e-16,3.499999999862702,1.07,0.5298825605656131,False,0,22,0.0
22,9.025920087,-55.5381965637207,133.36985778808594,0.0064141055094421116,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,302.64571541197034,90.0041985109953,0.0,3.3447457170637545e-81,5032.745297180894,True,4.518954654919582e-16,3.4999999998626734,1.07,0.5298825840091753,False,0,23,0.0
23,9.075920088,-55.53819274902344,133.36985778808594,0.004301027701535416,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,299.84582754915743,90.11559112934331,0.0,3.35851981518254e-81,4802.869291628671,True,4.518954654919582e-16,3.499999999862702,1.07,0.5298826074527844,False,0,24,0.0
